name*,version*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
php,7.2,BSD,copyright (c) the PHP Group,,,PHP,,,
cakephp,4.2,MIT,"Copyright (c) 2005-present, Cake Software Foundation, Inc. (https://cakefoundation.org)",,,PHP,,,
geocoder-php/nominatim-provider,5.4,MIT,Copyright (c) 2011 — William Durand <william.durand1@gmail.com>,,,PHP,,,
mobiledetect/mobiledetectlib,2.8,MIT,"Copyright (c) <2011-2015> Serban Ghita, Nick Ilyin and contributors.",,,PHP,,,
nyholm/psr7,1.3,MIT,Copyright (c) 2016 Tobias Nyholm,,,PHP,,,
php-http/curl-client,2.2,MIT,Copyright (c) 2015 PHP HTTP Team <team@php-http.org>,,,PHP,,,
php-http/message,1.8,MIT,Copyright (c) 2014 PHP Framework Interoperability Group,,,PHP,,,
admad/cakephp-i18n,2.0,MIT,Copyright (c) 2014 ADmad,,,PHP,,,
jquery,1.11.2 ,MIT,"(c) 2005, 2014 jQuery Foundation, Inc.",,,JS,,,https://jquery.org/
Jquery-ui,1.10.3,MIT,"(c) 2005, 2014 jQuery Foundation, Inc.",,,JS,,,https://jquery.org/
Bootstrap,3.1.1,MIT,"Copyright 2011-2014 Twitter, Inc.",,,CSS/JS,,,http://getbootstrap.com
